X_mm,Z_mm,path_index
-147.674,136.471,2
-147.783,136.633,2
-148.178,136.991,2
-148.328,137.070,2
-148.399,137.071,2
-149.200,137.214,2
-150.000,137.204,2
-150.800,137.401,2
-151.218,137.591,2
-151.618,137.772,2
-152.400,138.088,2
-152.974,138.316,2
-153.374,138.505,2
-154.000,138.796,2
-154.580,139.091,2
-154.980,139.349,2
-155.455,139.749,2
-155.855,140.169,2
-156.277,140.569,2
-156.677,140.891,2
-157.131,140.894,2
-157.133,140.894,2
-157.144,140.892,2
-157.158,140.887,2
-157.558,140.783,2
-157.989,140.674,2
-158.011,140.669,2
-158.029,140.664,2
-158.800,140.568,2
-159.549,140.654,2
-159.566,140.656,2
-159.613,140.668,2
-160.458,140.891,2
-160.486,140.899,2
-161.200,141.167,2
-161.770,141.473,2
-162.170,141.767,2
-162.617,142.167,2
-162.928,142.500,2
-163.000,142.500,2
-163.076,142.576,2
-163.124,142.624,2
-163.285,142.785,2
-163.311,142.803,2
-163.560,142.979,2
-163.596,143.009,2
-163.613,143.051,2
-163.656,143.090,2
-164.142,143.218,2
-164.400,143.190,2
-164.891,143.031,2
-165.129,142.981,2
-165.200,142.981,2
-166.000,142.844,2
-166.869,143.020,2
-166.936,143.031,2
-167.532,143.103,2
-167.600,143.104,2
-168.400,142.936,2
-169.200,142.786,2
-170.000,142.748,2
-170.800,142.787,2
-171.600,142.873,2
-172.400,142.953,2
-173.143,143.027,2
-173.200,143.033,2
-173.511,143.064,2
-174.000,143.113,2
-174.247,143.136,2
-174.800,143.189,2
-175.234,143.214,2
-175.600,143.236,2
-176.061,143.226,2
-176.400,143.218,2
-176.769,143.187,2
-177.200,143.151,2
-177.429,143.129,2
-178.000,143.074,2
-178.045,143.069,2
-178.278,143.047,2
-178.660,143.010,2
-178.732,143.003,2
-179.600,142.920,2
-180.400,142.835,2
-181.200,142.778,2
-182.000,142.782,2
-182.800,142.860,2
-183.661,143.061,2
-183.708,143.057,2
-184.340,143.034,2
-184.388,143.028,2
-185.200,142.837,2
-186.000,142.913,2
-186.753,143.077,2
-186.770,143.077,2
-186.818,143.084,2
-187.349,143.174,2
-187.410,143.184,2
-187.501,143.199,2
-187.572,143.128,2
-187.675,143.025,2
-187.892,142.808,2
-188.129,142.571,2
-188.198,142.502,2
-188.200,142.500,2
-188.209,142.500,2
-188.659,142.500,2
-188.675,142.500,2
-188.676,142.498,2
-188.785,142.385,2
-189.258,141.962,2
-189.302,141.937,2
-189.353,141.893,2
-189.664,141.637,2
-189.934,141.472,2
-189.988,141.439,2
-190.005,141.430,2
-190.026,141.422,2
-190.827,141.020,2
-190.863,141.010,2
-190.931,140.988,2
-191.399,140.829,2
-191.600,140.771,2
-191.800,140.734,2
-192.234,140.673,2
-192.403,140.646,2
-192.459,140.636,2
-193.095,140.663,2
-193.133,140.665,2
-193.246,140.689,2
-194.027,140.861,2
-194.090,140.881,2
-194.578,140.891,2
-194.978,140.694,2
-195.471,140.294,2
-195.871,139.879,2
-196.470,139.458,2
-196.526,139.420,2
-196.610,139.351,2
-196.820,139.211,2
-197.021,139.100,2
-197.123,139.057,2
-197.159,139.037,2
-197.214,139.011,2
-198.000,138.607,2
-198.436,138.417,2
-198.836,138.228,2
-199.600,137.868,2
-200.086,137.640,2
-200.486,137.454,2
-201.200,137.205,2
-202.000,137.088,2
-202.800,137.117,2
-203.371,136.979,2
-203.771,136.539,2
-204.098,136.139,2
-204.498,135.662,2
-204.867,135.262,2
-205.267,134.920,2
-205.773,134.520,2
-206.173,134.254,2
-206.843,133.827,2
-206.873,133.807,2
-206.898,133.788,2
-206.924,133.771,2
-207.194,133.596,2
-207.469,133.401,2
-207.496,133.382,2
-207.524,133.365,2
-208.177,132.912,2
-208.577,132.671,2
-209.200,132.394,2
-210.000,132.194,2
-210.707,132.072,2
-210.725,132.064,2
-210.758,132.039,2
-210.812,132.005,2
-211.065,131.878,2
-211.230,131.627,2
-211.276,131.570,2
-211.301,131.541,2
-211.308,131.516,2
-211.598,130.800,2
-211.879,130.200,2
-212.144,129.800,2
-212.572,129.278,2
-212.598,129.244,2
-212.627,129.213,2
-212.692,129.142,2
-212.901,128.907,2
-213.139,128.666,2
-213.257,128.546,2
-213.301,128.500,2
-213.346,128.455,2
-213.464,128.337,2
-213.702,128.100,2
-213.938,127.869,2
-214.059,127.751,2
-214.106,127.705,2
-214.154,127.658,2
-214.280,127.534,2
-214.511,127.308,2
-214.733,127.090,2
-214.863,126.963,2
-214.914,126.913,2
-214.966,126.863,2
-215.102,126.729,2
-215.319,126.517,2
-215.530,126.312,2
-215.615,126.228,2
-215.652,126.193,2
-215.683,126.162,2
-216.131,125.726,2
-216.531,125.341,2
-216.948,124.941,2
-217.348,124.558,2
-217.762,124.158,2
-218.187,123.690,2
-218.215,123.662,2
-218.234,123.630,2
-218.301,123.557,2
-218.493,123.324,2
-218.686,123.022,2
-218.740,122.928,2
-218.760,122.864,2
-219.133,122.305,2
-219.421,121.905,2
-219.821,121.421,2
-220.205,121.021,2
-220.605,120.494,2
-220.849,120.094,2
-221.161,119.600,2
-221.512,119.106,2
-221.842,118.706,2
-222.242,118.211,2
-222.555,117.811,2
-222.997,117.130,2
-222.998,117.128,2
-223.002,117.122,2
-223.394,116.475,2
-223.397,116.469,2
-223.842,115.699,2
-224.039,115.299,2
-224.302,114.800,2
-224.663,114.127,2
-224.858,113.727,2
-225.136,113.200,2
-225.479,112.590,2
-225.701,112.190,2
-226.127,111.546,2
-226.133,111.533,2
-226.143,111.522,2
-226.392,111.171,2
-226.608,110.842,2
-226.616,110.827,2
-226.619,110.821,2
-226.623,110.814,2
-226.712,110.667,2
-227.053,110.091,2
-227.075,110.073,2
-227.091,110.043,2
-227.123,109.987,2
-227.269,109.723,2
-227.450,109.384,2
-227.490,109.307,2
-227.519,109.256,2
-227.880,108.492,2
-227.887,108.481,2
-227.893,108.462,2
-227.904,108.435,2
-228.033,108.092,2
-228.174,107.684,2
-228.188,107.643,2
-228.200,107.609,2
-228.475,106.800,2
-228.705,106.121,2
-228.711,106.103,2
-228.720,106.078,2
-228.730,106.047,2
-228.841,105.720,2
-228.978,105.311,2
-228.995,105.258,2
-229.009,105.216,2
-229.281,104.400,2
