X_mm,Z_mm,path_index
-166.000,158.580,0
-166.432,158.607,0
-166.800,158.637,0
-167.235,158.639,0
-167.600,158.648,0
-168.049,158.638,0
-168.400,158.631,0
-168.863,158.622,0
-169.200,158.615,0
-169.672,158.610,0
-170.000,158.605,0
-170.465,158.608,0
-170.800,158.607,0
-171.273,158.598,0
-171.600,158.584,0
-172.142,158.543,0
-172.400,158.520,0
-173.074,158.459,0
-173.200,158.447,0
-173.977,158.408,0
-174.000,158.407,0
-174.781,158.406,0
-174.800,158.406,0
-175.370,158.406,0
-175.390,158.406,0
-175.630,158.401,0
-175.913,158.397,0
-175.922,158.397,0
-176.400,158.341,0
-176.571,158.312,0
-177.200,158.196,0
-177.602,158.105,0
-178.000,158.018,0
-178.394,157.940,0
-178.823,157.869,0
-179.276,157.806,0
-179.600,157.764,0
-180.237,157.682,0
-180.400,157.662,0
-180.803,157.608,0
-180.823,157.605,0
-181.129,157.532,0
-181.265,157.499,0
-181.564,157.421,0
-181.983,157.310,0
-182.396,157.203,0
-182.819,157.099,0
-183.301,157.010,0
-183.600,156.957,0
-184.089,156.883,0
-184.265,156.857,0
-184.447,156.827,0
-184.725,156.785,0
-184.772,156.774,0
-185.200,156.657,0
-185.465,156.580,0
-185.975,156.438,0
-186.372,156.339,0
-186.769,156.252,0
-187.422,156.127,0
-187.600,156.096,0
-188.031,156.023,0
-188.072,156.016,0
-188.353,155.968,0
-188.541,155.936,0
-188.695,155.910,0
-189.200,155.825,0
-189.473,155.775,0
-190.016,155.681,0
-190.407,155.596,0
-190.783,155.518,0
-191.399,155.368,0
-191.600,155.320,0
-192.013,155.219,0
-192.042,155.212,0
-192.338,155.139,0
-192.500,155.100,0
-192.719,155.045,0
-193.236,154.918,0
-193.610,154.822,0
-193.983,154.729,0
-194.610,154.566,0
-194.800,154.517,0
-195.206,154.410,0
-195.220,154.406,0
-195.528,154.324,0
-195.681,154.284,0
-195.919,154.220,0
-196.426,154.086,0
-196.795,153.988,0
-197.164,153.890,0
-197.673,153.755,0
-197.881,153.699,0
-198.051,153.655,0
-198.332,153.580,0
-198.380,153.567,0
-198.800,153.457,0
-199.013,153.401,0
-199.632,153.229,0
-200.145,153.055,0
-200.400,152.964,0
-200.800,152.814,0
-200.822,152.806,0
-201.128,152.725,0
-201.256,152.681,0
-201.588,152.592,0
-201.972,152.486,0
-202.399,152.377,0
-202.820,152.263,0
-203.207,152.164,0
-203.502,152.088,0
-203.649,152.050,0
-203.918,151.981,0
-203.998,151.961,0
-204.430,151.851,0
-204.803,151.758,0
-205.200,151.659,0
-205.600,151.574,0
-206.000,151.487,0
-206.395,151.406,0
